Enterprise;Domain;Name;GroupCategory;GroupScope;Path;Group
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-FOLDER-REDIRECTION;Security;DomainLocal;OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-ALL,TCOM-GRP-SEC-GLO-COMMERCIAL-ALL,TCOM-GRP-SEC-GLO-HR-ALL,TCOM-GRP-SEC-GLO-TECH-ALL,TCOM-GRP-SEC-GLO-ADFI-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-TELECOM_COMMON_SHARE;Security;DomainLocal;OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-ALL,TCOM-GRP-SEC-GLO-COMMERCIAL-ALL,TCOM-GRP-SEC-GLO-HR-ALL,TCOM-GRP-SEC-GLO-TECH-ALL,TCOM-GRP-SEC-GLO-ADFI-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-DIRECTION_COMMON_SHARE;Security;DomainLocal;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-HR_COMMON_SHARE;Security;DomainLocal;OU=HR,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-HR-ALL,TCOM-GRP-SEC-GLO-DIRECTION-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-COMMERCIAL_COMMON_SHARE;Security;DomainLocal;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-COMMERCIAL-ALL,TCOM-GRP-SEC-GLO-DIRECTION-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-TECHNICAL_COMMON_SHARE;Security;DomainLocal;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-ALL,TCOM-GRP-SEC-GLO-DIRECTION-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-LOC-ADFI_COMMON_SHARE;Security;DomainLocal;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-ALL, TCOM-GRP-SEC-GLO-DIRECTION-ALL
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-DIRECTION-ALL;Security;Global;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-DIRECTION-HEAD,TCOM-GRP-SEC-GLO-DIRECTION-ASSISTANT
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-COMMERCIAL-ALL;Security;Global;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-COMMERCIAL-COMMUNICATION,TCOM-GRP-SEC-GLO-COMMERCIAL-COMMERCIAL,TCOM-GRP-SEC-GLO-COMMERCIAL-HEAD
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-HR-ALL;Security;Global;OU=HR,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-HR-PAIE,TCOM-GRP-SEC-GLO-HR-HEAD
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-TECH-ALL;Security;Global;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-TECH-TECHNICIAN,TCOM-GRP-SEC-GLO-TECH-NETOPS,TCOM-GRP-SEC-GLO-TECH-SUPPORT,TCOM-GRP-SEC-GLO-TECH-HEAD
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-ADFI-ALL;Security;Global;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;TCOM-GRP-SEC-GLO-ADFI-HEAD,TCOM-GRP-SEC-GLO-ADFI-ACCOUNTING,TCOM-GRP-SEC-GLO-ADFI-IT,TCOM-GRP-SEC-GLO-ADFI-SECRETARY
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-DIRECTION-HEAD;Security;Global;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-DIRECTION-ASSISTANT;Security;Global;OU=Direction,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-COMMERCIAL-COMMERCIAL;Security;Global;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-COMMERCIAL-COMMUNICATION;Security;Global;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-COMMERCIAL-HEAD;Security;Global;OU=Commercial,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-HR-PAIE;Security;Global;OU=HR,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-HR-HEAD;Security;Global;OU=HR,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-TECH-TECHNICIAN;Security;Global;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-TECH-SUPPORT;Security;Global;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-TECH-NETOPS;Security;Global;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-TECH-HEAD;Security;Global;OU=Technical,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-ADFI-ACCOUNTING;Security;Global;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-ADFI-HEAD;Security;Global;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-ADFI-IT;Security;Global;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
iSEC-Telecom;isec-telecom.local;TCOM-GRP-SEC-GLO-ADFI-SECRETARY;Security;Global;OU=ADFI,OU=Service,OU=ISEC-Telecom,OU=Global,DC=isec-telecom,DC=local;
